Datetime;open;close;high;low;volume
1595836800000;0.91154;0.91088;0.91269;0.91085;44504
1595840400000;0.91088;0.91126;0.91151;0.91001;42405
1595844000000;0.91126;0.91105;0.91182;0.91104;42490
1595847600000;0.91106;0.91231;0.91263;0.91037;40464
1595851200000;0.91229;0.91325;0.91479;0.91198;52902
1595854800000;0.91327;0.91347;0.91382;0.9123;47270
1595858400000;0.91346;0.91313;0.91398;0.91277;46630
1595862000000;0.91313;0.91182;0.91386;0.91176;41309
1595865600000;0.91182;0.9123;0.91294;0.91181;39013
1595869200000;0.91229;0.91309;0.91328;0.91203;27508
1595872800000;0.91309;0.91286;0.91377;0.91286;27044
1595876400000;0.91284;0.91262;0.91291;0.91221;26147
1595880000000;0.91262;0.91218;0.91295;0.91205;11432
1595883600000;0.91201;0.91137;0.91205;0.91042;15790
1595887200000;0.91137;0.91239;0.91264;0.91137;18223
1595890800000;0.91239;0.91308;0.91324;0.91218;18866
1595894400000;0.91307;0.91317;0.91345;0.91269;23185
1595898000000;0.91317;0.91243;0.91317;0.91207;27807
1595901600000;0.91243;0.91195;0.91252;0.91185;21917
1595905200000;0.91198;0.91213;0.91284;0.91183;39250
1595908800000;0.91214;0.91241;0.91261;0.91192;27069
1595912400000;0.9124;0.9124;0.91296;0.91216;25679
1595916000000;0.91241;0.91156;0.91249;0.91131;33600
1595919600000;0.91158;0.9113;0.9123;0.91108;47703
1595923200000;0.91126;0.90998;0.91138;0.9098;41977
1595926800000;0.90999;0.91108;0.91137;0.9092;36069
1595930400000;0.9111;0.91122;0.91173;0.91059;31757
1595934000000;0.9112;0.90984;0.91187;0.90961;41792
1595937600000;0.90985;0.91043;0.91058;0.9093;37282
1595941200000;0.91044;0.90806;0.91116;0.90788;49931
1595944800000;0.90811;0.90598;0.90811;0.90592;57331
1595948400000;0.90597;0.90598;0.9065;0.90571;42259
1595952000000;0.90599;0.90627;0.90667;0.90596;31751
1595955600000;0.90627;0.90591;0.90669;0.90591;24451
1595959200000;0.90591;0.9056;0.9063;0.90546;28845
1595962800000;0.90561;0.90576;0.90577;0.90528;27943
1595966400000;0.90577;0.90592;0.90647;0.90554;11919
1595970000000;0.90529;0.90593;0.90616;0.90529;3621
1595973600000;0.90595;0.90656;0.90658;0.90585;7852
1595977200000;0.90656;0.90667;0.90686;0.90637;7268
1595980800000;0.90667;0.90659;0.90674;0.90609;24566
1595984400000;0.90659;0.90723;0.90739;0.90643;24897
1595988000000;0.90723;0.90747;0.90773;0.90704;21018
1595991600000;0.90747;0.90758;0.90778;0.90669;22230
1595995200000;0.90758;0.9079;0.90799;0.90722;20544
1595998800000;0.90792;0.90804;0.90808;0.9076;16650
1596002400000;0.90804;0.90816;0.9087;0.90773;29780
1596006000000;0.90813;0.9069;0.90851;0.9065;44654
1596009600000;0.90694;0.90621;0.90711;0.90621;34192
1596013200000;0.9062;0.90581;0.90629;0.9056;33037
1596016800000;0.90581;0.90607;0.90633;0.90533;34416
1596020400000;0.90603;0.90419;0.90603;0.9041;38978
1596024000000;0.90418;0.90474;0.90475;0.90348;36085
1596027600000;0.90474;0.90529;0.90618;0.90462;39386
1596031200000;0.90529;0.90804;0.90848;0.90515;42109
1596034800000;0.90804;0.90715;0.90866;0.90692;35346
1596038400000;0.90715;0.90746;0.908;0.90703;25678
1596042000000;0.90747;0.90686;0.90769;0.9068;28502
1596045600000;0.90698;0.90756;0.90778;0.90645;52065
1596049200000;0.90759;0.9069;0.90802;0.90667;44595
1596052800000;0.90691;0.90719;0.90773;0.90689;14378
1596056400000;0.90697;0.90677;0.90791;0.90611;6479
1596060000000;0.90684;0.90739;0.9075;0.90663;10848
1596063600000;0.90738;0.90761;0.90772;0.90718;73481
1596067200000;0.90762;0.907;0.90768;0.90698;39848
1596070800000;0.907;0.90682;0.90714;0.90679;42678
1596074400000;0.90683;0.90692;0.90726;0.9067;22614
1596078000000;0.90693;0.90691;0.9072;0.90684;12758
1596081600000;0.90691;0.90687;0.90713;0.90673;30749
1596085200000;0.90688;0.90723;0.90762;0.90684;43064
1596088800000;0.90717;0.90743;0.90785;0.90692;34047
1596092400000;0.90742;0.90538;0.90771;0.90533;31608
1596096000000;0.90538;0.90412;0.9055;0.90406;36827
1596099600000;0.90413;0.90409;0.9044;0.90357;32989
1596103200000;0.90409;0.90244;0.90457;0.90242;27626
1596106800000;0.90245;0.90242;0.90343;0.90204;31333
1596110400000;0.90239;0.90375;0.90406;0.90202;36737
1596114000000;0.90376;0.90363;0.90442;0.90344;55220
1596117600000;0.90366;0.90417;0.90448;0.90162;60416
1596121200000;0.90426;0.90448;0.90467;0.90336;50345
1596124800000;0.90449;0.90373;0.90464;0.90326;46453
1596128400000;0.90373;0.90433;0.9045;0.9035;40755
1596132000000;0.9043;0.90432;0.90462;0.90409;33560
1596135600000;0.90436;0.90486;0.905;0.90436;31314
1596139200000;0.90484;0.9046;0.90491;0.90416;15779
1596142800000;0.90462;0.90431;0.9051;0.90362;6028
1596146400000;0.90429;0.90455;0.90488;0.90416;13779
1596150000000;0.90456;0.90511;0.9053;0.90416;35583
1596153600000;0.90518;0.90482;0.90529;0.90446;36573
1596157200000;0.90482;0.90488;0.90515;0.90447;32486
1596160800000;0.90487;0.90545;0.90579;0.90467;39473
1596164400000;0.90545;0.9057;0.90585;0.90515;37643
1596168000000;0.90571;0.90603;0.90612;0.90569;25312
1596171600000;0.90604;0.90595;0.90611;0.90536;28221
1596175200000;0.90589;0.90583;0.90625;0.90467;32792
1596178800000;0.90586;0.90393;0.90626;0.90365;37205
1596182400000;0.90392;0.90323;0.9052;0.90312;37727
1596186000000;0.90324;0.9026;0.90354;0.90232;37782
1596189600000;0.9026;0.90208;0.90342;0.90155;27587
1596193200000;0.90206;0.9009;0.9021;0.90068;36174
1596196800000;0.9009;0.90039;0.90115;0.9002;35215
1596200400000;0.90039;0.89833;0.9005;0.89808;49386
1596204000000;0.89837;0.90129;0.90152;0.89806;53438
1596207600000;0.90131;0.90018;0.90221;0.8992;50230
1596211200000;0.90016;0.90013;0.90043;0.89909;50209
1596214800000;0.9001;0.89936;0.90036;0.89923;31173
1596218400000;0.89938;0.89956;0.90009;0.89916;25555
1596222000000;0.89954;0.89972;0.90026;0.89936;25417
1596402000000;0.90001;0.89991;0.90073;0.89974;1436
1596405600000;0.90002;0.90027;0.90061;0.89965;26832
1596409200000;0.90028;0.89927;0.90038;0.89918;26886
1596412800000;0.89927;0.89891;0.89961;0.89818;42612
1596416400000;0.89891;0.89881;0.89925;0.89822;46656
1596420000000;0.89891;0.89943;0.89961;0.89891;24855
1596423600000;0.89944;0.8991;0.89966;0.89909;18590
1596427200000;0.8991;0.89945;0.8997;0.8991;15753
1596430800000;0.89946;0.89921;0.89957;0.89896;18063
1596434400000;0.89922;0.89951;0.90008;0.89902;28521
1596438000000;0.89946;0.89944;0.89997;0.89899;38762
1596441600000;0.89941;0.89902;0.89957;0.89839;36577
1596445200000;0.89901;0.9004;0.90121;0.89863;33105
1596448800000;0.9004;0.90081;0.90102;0.89943;35858
1596452400000;0.90075;0.89974;0.90135;0.89974;28241
1596456000000;0.89974;0.89892;0.90042;0.89823;35559
1596459600000;0.89892;0.90076;0.90099;0.89845;44341
1596463200000;0.90078;0.90073;0.90148;0.90015;46783
1596466800000;0.90074;0.90012;0.90074;0.89974;37196
1596470400000;0.90012;0.89971;0.90022;0.89918;28479
1596474000000;0.89971;0.89939;0.89982;0.89935;24622
1596477600000;0.89939;0.89934;0.89977;0.89897;22070
1596481200000;0.89933;0.8995;0.90001;0.89927;22003
1596484800000;0.89952;0.89953;0.90006;0.89951;11037
1596488400000;0.89877;0.89927;0.89988;0.89876;7561
1596492000000;0.89926;0.8993;0.89967;0.8992;17052
1596495600000;0.89929;0.89917;0.89938;0.89903;35676
1596499200000;0.8992;0.89931;0.89951;0.89913;51308
1596502800000;0.89933;0.8994;0.89952;0.89926;19176
1596506400000;0.89938;0.89952;0.89975;0.89927;60619
1596510000000;0.89952;0.90002;0.90002;0.8993;29526
1596513600000;0.90004;0.90003;0.90027;0.89981;52673
1596517200000;0.90003;0.90017;0.90079;0.89991;40748
1596520800000;0.90018;0.90044;0.90074;0.89979;26552
1596524400000;0.90036;0.90089;0.901;0.89926;36699
1596528000000;0.90088;0.90227;0.90268;0.90047;36363
1596531600000;0.90227;0.90308;0.9033;0.902;32718
1596535200000;0.90308;0.90308;0.90333;0.90205;32726
1596538800000;0.90309;0.903;0.90379;0.90262;36736
1596542400000;0.903;0.90312;0.90405;0.90274;44766
1596546000000;0.90313;0.90128;0.90345;0.90112;45865
1596549600000;0.90128;0.90119;0.90167;0.9005;43646
1596553200000;0.9012;0.90095;0.90161;0.9007;41196
1596556800000;0.90094;0.90142;0.90145;0.90055;34421
1596560400000;0.90143;0.90215;0.90215;0.90105;31372
1596564000000;0.90215;0.90235;0.90286;0.90209;29377
1596567600000;0.90235;0.90292;0.903;0.90229;27554
1596571200000;0.90293;0.90286;0.90302;0.90251;9125
1596574800000;0.90282;0.90268;0.90292;0.90219;1853
1596578400000;0.90267;0.90253;0.90281;0.90235;13205
1596582000000;0.90253;0.9028;0.90295;0.90238;11419
1596585600000;0.9028;0.90274;0.9029;0.9024;20266
1596589200000;0.90274;0.90283;0.90293;0.90244;21389
1596592800000;0.90283;0.90309;0.90345;0.90263;20465
1596596400000;0.90309;0.90264;0.90309;0.90263;11417
1596600000000;0.90264;0.90233;0.90266;0.90223;9022
1596603600000;0.90232;0.90241;0.90248;0.90215;14167
1596607200000;0.90242;0.90305;0.90377;0.90212;26825
1596610800000;0.90306;0.90219;0.90306;0.90118;37619
1596614400000;0.90217;0.90372;0.90421;0.9021;38036
1596618000000;0.90372;0.90301;0.90458;0.90292;36559
1596621600000;0.90299;0.90184;0.90399;0.90166;35028
1596625200000;0.90185;0.90202;0.90273;0.90159;32007
1596628800000;0.90202;0.90381;0.90387;0.90188;41289
1596632400000;0.90382;0.9042;0.905;0.90302;46928
1596636000000;0.90415;0.90402;0.9047;0.90357;49463
1596639600000;0.90397;0.90534;0.90585;0.90396;42537
1596643200000;0.90534;0.90443;0.90572;0.90413;34199
1596646800000;0.90443;0.9044;0.90479;0.9041;22976
1596650400000;0.9044;0.90416;0.90453;0.90404;20029
1596654000000;0.90415;0.90445;0.90463;0.90406;20065
1596657600000;0.90445;0.90452;0.90473;0.90422;10379
1596661200000;0.90401;0.9044;0.90449;0.90358;4165
1596664800000;0.90438;0.90443;0.9047;0.90421;8556
1596668400000;0.90445;0.90452;0.90462;0.90423;8575
1596672000000;0.9045;0.90424;0.90464;0.90407;20737
1596675600000;0.90426;0.90412;0.90442;0.90398;19370
1596679200000;0.90412;0.90398;0.90419;0.90374;24665
1596682800000;0.90398;0.90412;0.90422;0.90387;16286
1596686400000;0.90411;0.90434;0.90441;0.90409;14160
1596690000000;0.90435;0.90464;0.9053;0.90434;18363
1596693600000;0.90449;0.90216;0.90479;0.90212;44622
1596697200000;0.9022;0.90055;0.90277;0.90026;44857
1596700800000;0.90057;0.89979;0.90092;0.8992;38865
1596704400000;0.89979;0.90018;0.901;0.89896;37166
1596708000000;0.90018;0.89902;0.90051;0.89868;33692
1596711600000;0.89901;0.89992;0.90032;0.89843;39865
1596715200000;0.89993;0.90078;0.901;0.89984;42085
1596718800000;0.90077;0.90027;0.90079;0.89947;44108
1596722400000;0.90027;0.90105;0.90106;0.89948;49611
1596726000000;0.90107;0.90162;0.90262;0.90081;38561
1596729600000;0.90165;0.90273;0.90313;0.90165;39250
1596733200000;0.90275;0.90316;0.90342;0.90208;33338
1596736800000;0.90316;0.90296;0.90332;0.9027;25616
1596740400000;0.90294;0.90363;0.90368;0.90277;31747
1596744000000;0.90361;0.90362;0.90408;0.90345;11771
1596747600000;0.90227;0.90341;0.90388;0.90217;15567
1596751200000;0.90341;0.90397;0.90417;0.90341;63919
1596754800000;0.90397;0.90388;0.90401;0.90351;10964
1596758400000;0.90387;0.90364;0.90401;0.9034;18229
1596762000000;0.90363;0.90334;0.90381;0.90333;46580
1596765600000;0.90337;0.90261;0.90392;0.90241;31425
1596769200000;0.90261;0.90252;0.90291;0.90239;55691
1596772800000;0.90254;0.90225;0.90277;0.90211;19266
1596776400000;0.90226;0.90216;0.90251;0.90183;15749
1596780000000;0.90227;0.90238;0.90272;0.90194;24476
1596783600000;0.90228;0.90363;0.90391;0.90151;34516
1596787200000;0.90362;0.90289;0.90362;0.90224;31155
1596790800000;0.9029;0.90258;0.90334;0.90219;31216
1596794400000;0.9026;0.9039;0.90393;0.90239;27305
1596798000000;0.90394;0.90361;0.90409;0.90292;31622
1596801600000;0.90361;0.90329;0.90415;0.90271;42316
1596805200000;0.90329;0.90275;0.90346;0.90211;57542
1596808800000;0.90277;0.90316;0.90397;0.90222;47817
1596812400000;0.90319;0.90292;0.90349;0.90286;38392
1596816000000;0.9029;0.90235;0.90309;0.90223;31094
1596819600000;0.90235;0.90263;0.90298;0.90234;30333
1596823200000;0.90263;0.9026;0.90289;0.90246;26607
1596826800000;0.90261;0.90257;0.90289;0.90234;21265
1597006800000;0.90269;0.90218;0.9029;0.90205;1081
1597010400000;0.90212;0.90273;0.9029;0.90199;9944
1597014000000;0.90275;0.90269;0.90288;0.90259;9300
1597017600000;0.90267;0.90263;0.90277;0.90234;15871
1597021200000;0.90268;0.90241;0.90268;0.90233;20738
1597024800000;0.9024;0.90211;0.90245;0.90206;10718
1597028400000;0.90209;0.9022;0.90228;0.90199;8356
1597032000000;0.90219;0.90228;0.90231;0.90201;6347
1597035600000;0.9023;0.90229;0.90237;0.9021;12854
1597039200000;0.90231;0.9015;0.90288;0.9015;26091
1597042800000;0.9015;0.90127;0.90151;0.90044;34227
1597046400000;0.90122;0.90015;0.90169;0.90007;30756
1597050000000;0.90015;0.90057;0.9007;0.8997;28504
1597053600000;0.90057;0.90185;0.90217;0.9004;26725
1597057200000;0.90185;0.90141;0.90235;0.90104;26365
1597060800000;0.90143;0.90055;0.90167;0.90051;25175
1597064400000;0.90053;0.9001;0.90061;0.8993;37808
1597068000000;0.90012;0.89887;0.90014;0.89845;37527
1597071600000;0.89886;0.89868;0.89926;0.89809;33244
1597075200000;0.89869;0.89818;0.8987;0.8978;25419
1597078800000;0.89818;0.89926;0.8994;0.89794;21305
1597082400000;0.89926;0.89866;0.89959;0.89859;23206
1597086000000;0.89864;0.89813;0.89865;0.89801;19449
1597089600000;0.89814;0.89773;0.89835;0.89759;9010
1597093200000;0.89773;0.89767;0.89816;0.89698;7335
1597096800000;0.89765;0.89801;0.89803;0.89741;5885
1597100400000;0.898;0.89752;0.89812;0.89752;6359
1597104000000;0.89752;0.89719;0.89778;0.8971;13818
1597107600000;0.89718;0.89712;0.89729;0.89693;14466
1597111200000;0.89714;0.89753;0.89757;0.89707;16090
1597114800000;0.89752;0.89768;0.8978;0.8974;12037
1597118400000;0.89767;0.89803;0.89814;0.89764;13207
1597122000000;0.89801;0.8978;0.89827;0.89767;20891
1597125600000;0.89766;0.89814;0.89842;0.8976;34994
1597129200000;0.89815;0.89782;0.89847;0.89755;35788
1597132800000;0.89782;0.89943;0.89972;0.89768;45088
1597136400000;0.89942;0.90006;0.90006;0.89911;38285
1597140000000;0.90007;0.90064;0.90069;0.8998;39282
1597143600000;0.90063;0.89819;0.90087;0.89811;43546
1597147200000;0.89818;0.89923;0.89951;0.89799;38065
1597150800000;0.89924;0.89857;0.89924;0.89775;49098
1597154400000;0.89859;0.899;0.89973;0.8981;38139
1597158000000;0.89899;0.89957;0.90014;0.89896;44153
1597161600000;0.89957;0.8992;0.89983;0.89893;38688
1597165200000;0.89921;0.89886;0.89925;0.89852;35649
1597168800000;0.89886;0.89908;0.89936;0.89873;34043
1597172400000;0.89909;0.89943;0.89948;0.89877;36449
1597176000000;0.89943;0.8996;0.89974;0.89909;12835
1597179600000;0.89861;0.89928;0.89982;0.89842;15219
1597183200000;0.89928;0.89926;0.89948;0.899;15114
1597186800000;0.8993;0.89908;0.89935;0.89894;10155
1597190400000;0.89906;0.89935;0.89953;0.89905;20242
1597194000000;0.8995;0.89965;0.89993;0.89924;24604
1597197600000;0.89959;0.89955;0.89995;0.89941;32232
1597201200000;0.89956;0.89976;0.8998;0.89929;18186
1597204800000;0.89976;0.89958;0.89976;0.89942;28084
1597208400000;0.89957;0.89923;0.89981;0.89918;15491
1597212000000;0.89926;0.89931;0.89953;0.89891;32783
1597215600000;0.89931;0.90024;0.90031;0.89913;38284
1597219200000;0.90025;0.89993;0.90052;0.8994;43840
1597222800000;0.89993;0.90168;0.9018;0.89974;36772
1597226400000;0.90168;0.90274;0.90319;0.90148;34502
1597230000000;0.90273;0.90389;0.90408;0.90266;43685
1597233600000;0.9039;0.90436;0.90497;0.90357;47273
1597237200000;0.9043;0.90432;0.90468;0.90346;48171
1597240800000;0.90432;0.90411;0.90528;0.90395;49322
1597244400000;0.90411;0.90409;0.90432;0.90368;46706
1597248000000;0.9041;0.90394;0.90439;0.9036;34175
1597251600000;0.90394;0.90442;0.90448;0.90392;32211
1597255200000;0.90442;0.90458;0.90506;0.90442;26052
1597258800000;0.9046;0.90516;0.90517;0.90444;33722
1597262400000;0.9052;0.90401;0.9052;0.90401;11482
1597266000000;0.90401;0.90387;0.90407;0.90327;8605
1597269600000;0.90411;0.90416;0.90445;0.90354;6724
1597273200000;0.90416;0.904;0.90434;0.90391;10267
1597276800000;0.904;0.90417;0.90426;0.9039;22133
