Datetime;open;close;high;low;volume
1596123900000;0.90418;0.90448;0.90467;0.90392;11265
1596124800000;0.90449;0.9041;0.90464;0.90409;11357
1596125700000;0.90412;0.90351;0.90414;0.90326;13622
1596126600000;0.9035;0.9037;0.90378;0.90329;11307
1596127500000;0.9037;0.90373;0.90373;0.9033;10167
1596128400000;0.90373;0.90386;0.90414;0.9035;11946
1596129300000;0.90386;0.90421;0.90422;0.90368;10904
1596130200000;0.90421;0.90443;0.9045;0.90404;9815
1596131100000;0.90441;0.90433;0.90448;0.90398;8090
1596132000000;0.9043;0.9042;0.90452;0.90409;8543
1596132900000;0.90423;0.90446;0.90462;0.90421;8013
1596133800000;0.90445;0.90444;0.90453;0.90433;8261
1596134700000;0.90445;0.90432;0.90447;0.90421;8743
1596135600000;0.90436;0.90467;0.9048;0.90436;9536
1596136500000;0.90466;0.90447;0.90467;0.90439;7769
1596137400000;0.90448;0.90463;0.90481;0.90442;7041
1596138300000;0.90462;0.90486;0.905;0.9046;6968
1596139200000;0.90484;0.9047;0.90491;0.90457;5045
1596140100000;0.90471;0.90454;0.90488;0.90452;3505
1596141000000;0.90455;0.90417;0.90474;0.90416;3811
1596141900000;0.90419;0.9046;0.90479;0.90417;3418
1596142800000;0.90462;0.90393;0.90462;0.90393;192
1596143700000;0.90392;0.9045;0.9051;0.90362;1413
1596144600000;0.90445;0.90386;0.90471;0.90362;2206
1596145500000;0.90385;0.90431;0.90433;0.90376;2217
1596146400000;0.90429;0.90459;0.90474;0.90416;4709
1596147300000;0.90459;0.90469;0.90472;0.9045;3020
1596148200000;0.90471;0.90478;0.90488;0.90463;2881
1596149100000;0.9048;0.90455;0.90485;0.90448;3169
1596150000000;0.90456;0.90421;0.9046;0.90416;4162
1596150900000;0.9042;0.90497;0.9053;0.90418;11591
1596151800000;0.90498;0.90501;0.90528;0.90477;9920
1596152700000;0.90502;0.90511;0.90518;0.90483;9910
1596153600000;0.90518;0.90496;0.90521;0.90466;10007
1596154500000;0.90498;0.90465;0.90529;0.90456;10897
1596155400000;0.90465;0.90485;0.90488;0.90446;8119
1596156300000;0.90485;0.90482;0.90488;0.90451;7550
1596157200000;0.90482;0.90448;0.90497;0.90448;8729
1596158100000;0.90448;0.90503;0.90509;0.90447;7248
1596159000000;0.90505;0.90482;0.90515;0.90479;7806
1596159900000;0.90481;0.90488;0.90497;0.90469;8703
1596160800000;0.90487;0.90488;0.90546;0.90473;10932
1596161700000;0.90485;0.90519;0.90538;0.90467;7915
1596162600000;0.90519;0.90523;0.90579;0.90515;11724
1596163500000;0.90528;0.90545;0.90545;0.90525;8902
1596164400000;0.90545;0.9058;0.9058;0.90515;11080
1596165300000;0.90579;0.90561;0.90581;0.90542;12433
1596166200000;0.9056;0.90555;0.90583;0.90547;10275
1596167100000;0.90554;0.9057;0.90585;0.90554;3855
1596168000000;0.90571;0.90593;0.90601;0.90569;6020
1596168900000;0.90593;0.90591;0.90606;0.90591;4673
1596169800000;0.90593;0.906;0.90609;0.90571;5760
1596170700000;0.906;0.90603;0.90612;0.90582;8859
