Datetime;open;close;high;low;volume
1595833200000;1.17089;1.16962;1.17135;1.16896;95405
1595836800000;1.1696;1.16954;1.17116;1.16935;90566
1595840400000;1.16953;1.17064;1.17075;1.16818;88665
1595844000000;1.17066;1.17264;1.17326;1.17053;89865
1595847600000;1.17263;1.17441;1.17451;1.17176;89094
1595851200000;1.17443;1.17391;1.17643;1.17357;115971
1595854800000;1.17391;1.17592;1.17601;1.17281;108024
1595858400000;1.17592;1.17773;1.17782;1.17471;122604
1595862000000;1.17772;1.17501;1.17812;1.17495;88244
1595865600000;1.17502;1.17449;1.17577;1.17433;73205
1595869200000;1.17448;1.17555;1.17564;1.17448;47640
1595872800000;1.17554;1.17502;1.17647;1.17502;52768
1595876400000;1.17502;1.17454;1.17517;1.17423;45571
1595880000000;1.17455;1.17517;1.17521;1.17441;14023
1595883600000;1.1751;1.17498;1.17522;1.17435;9501
1595887200000;1.17498;1.17634;1.17643;1.17487;17006
1595890800000;1.17633;1.17682;1.17688;1.17515;30092
1595894400000;1.17681;1.17661;1.17728;1.17602;50155
1595898000000;1.17661;1.17584;1.17736;1.17557;76172
1595901600000;1.17585;1.17448;1.17631;1.17433;59811
1595905200000;1.17449;1.17243;1.17471;1.17142;81591
1595908800000;1.17243;1.17312;1.17353;1.17183;65314
1595912400000;1.17313;1.17353;1.17358;1.17211;53222
1595916000000;1.17353;1.17275;1.17405;1.17242;72942
1595919600000;1.17271;1.17109;1.17357;1.17056;96115
1595923200000;1.17112;1.17208;1.17217;1.16987;94208
1595926800000;1.1721;1.17287;1.17367;1.17109;77520
1595930400000;1.17288;1.17377;1.17404;1.17255;75425
1595934000000;1.17378;1.17043;1.17431;1.17002;94093
1595937600000;1.17044;1.17329;1.17358;1.1704;89609
1595941200000;1.17327;1.17326;1.17421;1.17216;126170
1595944800000;1.17323;1.17289;1.17396;1.17081;136143
1595948400000;1.17291;1.17318;1.17324;1.17125;99318
1595952000000;1.17318;1.17347;1.17373;1.17282;66095
1595955600000;1.17348;1.17306;1.1737;1.17277;50075
1595959200000;1.17309;1.17238;1.1732;1.1719;58422
1595962800000;1.17239;1.17141;1.17243;1.1712;55528
1595966400000;1.17138;1.17154;1.172;1.17132;14868
1595970000000;1.1715;1.1721;1.17214;1.17135;4017
1595973600000;1.17208;1.172;1.17234;1.17181;10610
1595977200000;1.17201;1.17185;1.17217;1.17178;10655
1595980800000;1.17186;1.17215;1.17255;1.17141;34641
1595984400000;1.17215;1.1724;1.17242;1.17152;38118
1595988000000;1.1724;1.17282;1.17314;1.17203;33495
1595991600000;1.17283;1.17286;1.1732;1.17248;29772
1595995200000;1.17285;1.17296;1.17338;1.1725;24663
1595998800000;1.17295;1.17345;1.17347;1.17247;25012
1596002400000;1.17344;1.17475;1.17506;1.1732;51571
1596006000000;1.17474;1.17593;1.17702;1.17435;77850
1596009600000;1.1759;1.17507;1.17631;1.17473;58373
1596013200000;1.17508;1.17472;1.17543;1.17418;56565
1596016800000;1.17471;1.17462;1.17544;1.17424;50903
1596020400000;1.17462;1.17224;1.17465;1.17202;70209
1596024000000;1.17223;1.17435;1.17453;1.17185;71199
1596027600000;1.17437;1.1755;1.1764;1.17422;83270
1596031200000;1.17551;1.1775;1.17782;1.17514;91434
1596034800000;1.17747;1.17691;1.1777;1.1764;67400
1596038400000;1.17693;1.17735;1.17772;1.17665;46126
1596042000000;1.17734;1.1787;1.17908;1.17702;50735
1596045600000;1.17871;1.17663;1.18062;1.17578;102868
1596049200000;1.17664;1.1777;1.17933;1.17536;80707
1596052800000;1.17769;1.17905;1.17971;1.17765;20450
1596056400000;1.17915;1.17918;1.17932;1.17796;8290
1596060000000;1.17918;1.17899;1.1793;1.17897;6861
1596063600000;1.179;1.17809;1.179;1.17806;16911
1596067200000;1.17808;1.17795;1.17845;1.17723;36281
1596070800000;1.17796;1.17702;1.1784;1.17685;47807
1596074400000;1.17703;1.1777;1.17773;1.17657;30493
1596078000000;1.1777;1.17763;1.1785;1.17744;26766
1596081600000;1.17762;1.17685;1.17767;1.17666;25657
1596085200000;1.17686;1.17601;1.17693;1.17588;38553
1596088800000;1.17594;1.17564;1.1763;1.17494;56730
1596092400000;1.17564;1.17577;1.17647;1.17459;75627
1596096000000;1.17582;1.1742;1.17638;1.17403;74586
1596099600000;1.17421;1.17573;1.17615;1.17307;64455
1596103200000;1.17572;1.1747;1.17587;1.17423;54555
1596106800000;1.1747;1.17485;1.176;1.17443;49515
1596110400000;1.17485;1.17772;1.1779;1.17423;69385
1596114000000;1.1777;1.17879;1.18094;1.17735;119646
1596117600000;1.17879;1.1795;1.17973;1.1774;119470
1596121200000;1.17953;1.17901;1.17957;1.1775;88477
1596124800000;1.17902;1.18037;1.18062;1.179;67787
1596128400000;1.18035;1.18281;1.18341;1.18021;72147
1596132000000;1.18281;1.18384;1.18385;1.18246;57692
1596135600000;1.18384;1.18446;1.18446;1.1837;49064
1596139200000;1.18447;1.18471;1.18482;1.1843;18183
1596142800000;1.18469;1.18417;1.18473;1.1836;8067
1596146400000;1.18413;1.18481;1.18489;1.1839;15181
1596150000000;1.18481;1.18718;1.18762;1.18431;41780
1596153600000;1.18721;1.18661;1.18883;1.18622;64589
1596157200000;1.18661;1.18831;1.18846;1.18619;56537
1596160800000;1.1883;1.18905;1.19048;1.1882;68119
1596164400000;1.18905;1.18919;1.18933;1.18828;48422
1596168000000;1.18917;1.18976;1.18977;1.18853;44202
1596171600000;1.18976;1.18881;1.18978;1.18861;45990
1596175200000;1.18881;1.19014;1.19088;1.18773;65528
1596178800000;1.19012;1.18755;1.19035;1.18741;79847
1596182400000;1.18755;1.18576;1.18858;1.18521;74911
1596186000000;1.18577;1.18572;1.18583;1.18383;76173
1596189600000;1.18571;1.18497;1.18623;1.18462;53509
1596193200000;1.18498;1.18396;1.18502;1.18274;76461
1596196800000;1.18398;1.18438;1.18523;1.18369;66885
1596200400000;1.18438;1.18244;1.18457;1.18019;106159
1596204000000;1.18245;1.1831;1.18512;1.182;120554
1596207600000;1.18306;1.1822;1.18395;1.18119;95616
1596211200000;1.18216;1.17912;1.18218;1.17614;87017
1596214800000;1.17911;1.17896;1.18053;1.17856;58659
1596218400000;1.17897;1.17886;1.17947;1.17781;39025
1596222000000;1.17883;1.17788;1.17926;1.17746;45619
1596402000000;1.1772;1.17763;1.17776;1.17711;4110
1596405600000;1.17764;1.17943;1.17964;1.17718;22012
1596409200000;1.17944;1.17811;1.17968;1.17772;25414
1596412800000;1.17812;1.17533;1.17888;1.17406;75725
1596416400000;1.17533;1.17713;1.17722;1.1745;66617
1596420000000;1.17713;1.17679;1.17732;1.17628;37491
1596423600000;1.17678;1.17727;1.17754;1.17663;29034
1596427200000;1.17728;1.17757;1.17822;1.17712;29687
1596430800000;1.17756;1.17741;1.1779;1.17671;30773
1596434400000;1.17741;1.175;1.17752;1.17489;51913
1596438000000;1.17502;1.17622;1.17679;1.17499;68774
1596441600000;1.17621;1.17791;1.1785;1.17591;65538
1596445200000;1.17789;1.17446;1.17797;1.17423;56837
1596448800000;1.17445;1.17249;1.17451;1.17137;64507
1596452400000;1.17249;1.17253;1.17347;1.17246;52633
1596456000000;1.17253;1.17075;1.17345;1.17061;64884
1596459600000;1.17074;1.17234;1.17244;1.16958;77843
1596463200000;1.17232;1.17379;1.17433;1.17217;86309
1596466800000;1.17379;1.17498;1.17506;1.17333;59219
1596470400000;1.17496;1.17492;1.1752;1.17381;44717
1596474000000;1.17492;1.17519;1.17586;1.17469;38282
1596477600000;1.17518;1.1759;1.1763;1.17508;33781
1596481200000;1.17588;1.1764;1.17655;1.1758;33493
1596484800000;1.17641;1.17621;1.17677;1.17619;14382
1596488400000;1.17618;1.17605;1.17658;1.17571;5590
1596492000000;1.17603;1.17605;1.17657;1.17588;10441
1596495600000;1.17604;1.17603;1.1761;1.17558;12373
1596499200000;1.17602;1.17538;1.17615;1.17522;29323
1596502800000;1.17537;1.17583;1.17592;1.17535;29919
1596506400000;1.17583;1.17723;1.17733;1.1757;28003
1596510000000;1.17721;1.17675;1.17737;1.17635;24178
1596513600000;1.17678;1.17738;1.17744;1.1767;23804
1596517200000;1.17739;1.17668;1.1777;1.17642;28953
1596520800000;1.17667;1.17771;1.17801;1.17641;55537
1596524400000;1.17768;1.17865;1.18027;1.17717;79474
1596528000000;1.17865;1.17921;1.17948;1.17727;68523
1596531600000;1.17924;1.17946;1.18058;1.17918;62027
1596535200000;1.17946;1.17702;1.17951;1.17682;65940
1596538800000;1.17703;1.17611;1.17732;1.17545;70320
1596542400000;1.17611;1.17282;1.1771;1.1722;84314
1596546000000;1.17283;1.17241;1.17381;1.17213;83115
1596549600000;1.17241;1.17566;1.17644;1.17239;93327
1596553200000;1.17566;1.17653;1.17738;1.17502;71282
1596556800000;1.17652;1.17777;1.17777;1.17645;55847
