Datetime;open;close;high;low;volume
1596123900000;1.17867;1.17901;1.17945;1.17857;18165
1596124800000;1.17902;1.17982;1.17982;1.179;18703
1596125700000;1.1798;1.17962;1.18027;1.17941;18904
1596126600000;1.17962;1.18041;1.18058;1.17962;15371
1596127500000;1.18041;1.18037;1.18062;1.18015;14809
1596128400000;1.18035;1.18219;1.18219;1.18021;20775
1596129300000;1.18217;1.1823;1.18273;1.18181;19567
1596130200000;1.1823;1.18305;1.18341;1.18208;17669
1596131100000;1.18304;1.18281;1.18316;1.18261;14136
1596132000000;1.18281;1.18259;1.18301;1.18246;14963
1596132900000;1.18259;1.18301;1.18304;1.18258;14687
1596133800000;1.18302;1.18341;1.18347;1.18297;14388
1596134700000;1.18341;1.18384;1.18385;1.18303;13654
1596135600000;1.18384;1.18403;1.18442;1.1837;16452
1596136500000;1.18403;1.18385;1.18414;1.18383;12686
1596137400000;1.18386;1.18417;1.18419;1.18373;10022
1596138300000;1.18417;1.18446;1.18446;1.18406;9904
1596139200000;1.18447;1.18443;1.18456;1.1843;7274
1596140100000;1.18444;1.18443;1.18479;1.18436;3138
1596141000000;1.18443;1.18476;1.18477;1.18441;5238
1596141900000;1.18477;1.18471;1.18482;1.18464;2533
1596142800000;1.18469;1.18462;1.18473;1.1845;382
1596143700000;1.18463;1.18404;1.18463;1.1836;1817
1596144600000;1.18404;1.18388;1.18412;1.18367;2224
1596145500000;1.18388;1.18417;1.18425;1.18375;3644
1596146400000;1.18413;1.1842;1.18451;1.1839;4816
1596147300000;1.1842;1.18449;1.18469;1.18409;3471
1596148200000;1.18449;1.18448;1.18456;1.18428;2965
1596149100000;1.18449;1.18481;1.18489;1.1844;3929
1596150000000;1.18481;1.18483;1.18489;1.18431;7264
1596150900000;1.18483;1.18684;1.18762;1.18478;17425
1596151800000;1.18684;1.18666;1.18734;1.18634;9084
1596152700000;1.18669;1.18718;1.18755;1.18652;8007
1596153600000;1.18721;1.1874;1.18878;1.18664;15852
1596154500000;1.1874;1.18664;1.18883;1.18657;18253
1596155400000;1.18663;1.18701;1.18732;1.18631;14584
1596156300000;1.18701;1.18661;1.1871;1.18622;15900
1596157200000;1.18661;1.187;1.18702;1.18619;14351
1596158100000;1.18701;1.18749;1.18756;1.18687;13294
1596159000000;1.1875;1.18791;1.18825;1.18727;14141
1596159900000;1.18791;1.18831;1.18846;1.18788;14751
1596160800000;1.1883;1.1884;1.18942;1.18826;18774
1596161700000;1.18839;1.18878;1.18898;1.18821;14993
1596162600000;1.18877;1.18963;1.19048;1.1882;20292
1596163500000;1.18963;1.18905;1.18969;1.18888;14060
1596164400000;1.18905;1.18893;1.18933;1.18841;15160
1596165300000;1.18892;1.18859;1.18892;1.18828;13430
1596166200000;1.18859;1.18895;1.18901;1.18834;12415
1596167100000;1.18894;1.18919;1.1893;1.1889;7417
1596168000000;1.18917;1.1892;1.18963;1.18894;12657
1596168900000;1.18919;1.18892;1.18953;1.1889;10035
1596169800000;1.18893;1.1888;1.18923;1.18853;10020
1596170700000;1.18879;1.18976;1.18977;1.18872;11490
1596171600000;1.18976;1.18958;1.18978;1.18915;10179
1596172500000;1.18958;1.1896;1.1896;1.18904;9653
1596173400000;1.18962;1.18913;1.18967;1.18876;13823
1596174300000;1.18914;1.18881;1.18927;1.18861;12335
1596175200000;1.18881;1.18827;1.18902;1.18825;17292
1596176100000;1.18825;1.18857;1.18861;1.18773;14691
1596177000000;1.18861;1.18984;1.19006;1.1883;16735
1596177900000;1.18984;1.19014;1.19088;1.1895;16810
1596178800000;1.19012;1.18921;1.19035;1.18867;23571
1596179700000;1.18922;1.18931;1.18946;1.18847;18951
1596180600000;1.18935;1.18859;1.19007;1.18845;17460
1596181500000;1.1886;1.18755;1.18895;1.18741;19865
1596182400000;1.18755;1.18847;1.18858;1.18743;16471
1596183300000;1.18846;1.18681;1.18847;1.18674;18764
1596184200000;1.18681;1.1861;1.18695;1.18606;20347
1596185100000;1.18609;1.18576;1.18613;1.18521;19329
1596186000000;1.18577;1.18443;1.18583;1.18383;23261
1596186900000;1.18443;1.18462;1.18475;1.18391;19026
1596187800000;1.18463;1.18476;1.18518;1.18421;15995
1596188700000;1.18477;1.18572;1.18574;1.18465;17891
1596189600000;1.18571;1.18578;1.18615;1.18554;13097
1596190500000;1.18579;1.18616;1.18623;1.18547;12378
1596191400000;1.18617;1.18554;1.18617;1.18515;14183
1596192300000;1.18555;1.18497;1.18567;1.18462;13851
1596193200000;1.18498;1.18319;1.18502;1.18315;18098
1596194100000;1.18321;1.18326;1.18349;1.18279;18639
1596195000000;1.18327;1.18324;1.18341;1.18274;19723
1596195900000;1.18323;1.18396;1.18414;1.18314;20001
1596196800000;1.18398;1.18482;1.18493;1.18369;18526
1596197700000;1.18477;1.18474;1.18523;1.18404;13624
1596198600000;1.18474;1.18411;1.18486;1.1837;18619
1596199500000;1.18412;1.18438;1.18481;1.18401;16116
1596200400000;1.18438;1.18423;1.18457;1.18284;22205
1596201300000;1.18424;1.18228;1.18428;1.18169;26555
1596202200000;1.18228;1.18192;1.18256;1.18019;30086
1596203100000;1.1819;1.18244;1.18271;1.18086;27313
1596204000000;1.18245;1.18405;1.18413;1.182;26652
1596204900000;1.18409;1.18356;1.18512;1.18332;25168
1596205800000;1.18356;1.1843;1.18447;1.18316;27402
1596206700000;1.1843;1.1831;1.18463;1.18202;41332
1596207600000;1.18306;1.18317;1.18341;1.18183;34024
1596208500000;1.18313;1.18211;1.18395;1.18197;22434
1596209400000;1.18211;1.18223;1.18264;1.18119;21209
1596210300000;1.18222;1.1822;1.18289;1.18162;17949
1596211200000;1.18216;1.17899;1.18218;1.17862;26695
1596212100000;1.179;1.17931;1.1795;1.1786;17705
1596213000000;1.17929;1.17823;1.17939;1.17614;23858
1596213900000;1.17819;1.17912;1.1793;1.17818;18759
1596214800000;1.17911;1.17968;1.18009;1.17901;15591
1596215700000;1.17969;1.1801;1.18045;1.17969;14291
1596216600000;1.18009;1.17993;1.18053;1.17856;16048
1596217500000;1.17993;1.17896;1.18002;1.17884;12729
1596218400000;1.17897;1.17894;1.17947;1.17855;10829
1596219300000;1.17895;1.17864;1.17936;1.17848;9066
1596220200000;1.17865;1.17856;1.17875;1.17781;8858
1596221100000;1.17855;1.17886;1.17895;1.17803;10272
1596222000000;1.17883;1.17899;1.17926;1.17827;13766
