Datetime;open;close;high;low;volume
1596121200000;11.86;11.98;12.05;11.78;5174
1596124800000;11.97;12.06;12.09;11.95;2984
1596128400000;12.05;11.97;12.12;11.96;2689
1596132000000;11.98;12.04;12.06;11.97;3344
1596135600000;12.04;11.98;12.05;11.94;4032
1596200400000;11.85;11.84;11.97;11.69;1864
1596204000000;11.84;11.73;12.0;11.71;8663
1596207600000;11.72;11.68;11.8;11.67;5012
1596211200000;11.69;11.62;11.72;11.59;4464
1596214800000;11.61;11.72;11.73;11.55;2927
1596218400000;11.71;11.77;11.81;11.71;2705
1596222000000;11.77;11.7;11.78;11.7;2094
1596459600000;11.78;11.75;11.81;11.69;1185
1596463200000;11.75;11.9;11.95;11.72;4720
1596466800000;11.89;11.95;11.97;11.83;3832
1596470400000;11.95;11.94;11.96;11.89;3600
1596474000000;11.95;11.95;11.98;11.91;2897
1596477600000;11.95;11.98;12.0;11.93;2228
1596481200000;11.98;11.93;11.98;11.92;2141
1596546000000;11.8;11.92;11.98;11.75;1554
1596549600000;11.91;11.98;12.05;11.81;5567
1596553200000;11.97;12.05;12.08;11.97;3238
1596556800000;12.06;12.06;12.09;12.01;2674
1596560400000;12.07;12.07;12.09;12.04;1630
1596564000000;12.07;12.12;12.18;12.07;2343
1596567600000;12.12;12.16;12.19;12.11;2014
1596632400000;12.15;12.07;12.26;12.02;1190
1596636000000;12.07;11.76;12.07;11.76;5412
1596639600000;11.76;11.67;11.83;11.66;4345
1596643200000;11.67;11.62;11.68;11.59;2935
1596646800000;11.63;11.6;11.65;11.58;2609
1596650400000;11.61;11.56;11.64;11.55;1828
1596654000000;11.56;11.5;11.57;11.49;1997
1596718800000;11.5;11.74;11.76;11.47;1377
1596722400000;11.74;11.67;11.79;11.62;5478
1596726000000;11.68;11.65;11.73;11.64;2084
1596729600000;11.65;11.72;11.72;11.65;1638
1596733200000;11.72;11.7;11.72;11.68;1191
1596736800000;11.7;11.7;11.7;11.69;406
1596740400000;11.7;11.7;11.73;11.7;1545
1596805200000;11.54;11.68;11.76;11.54;806
1596808800000;11.7;11.72;11.8;11.59;3283
1596812400000;11.72;11.77;11.82;11.7;2929
1596816000000;11.77;11.79;11.79;11.7;2426
1596819600000;11.79;11.78;11.89;11.73;2099
1596823200000;11.79;11.81;11.81;11.74;1817
1596826800000;11.81;11.8;11.86;11.76;1911
1597064400000;11.95;12.14;12.21;11.81;1287
1597068000000;12.14;12.08;12.17;11.88;4618
