Datetime;open;close;high;low;volume
1596123900000;12.02;11.98;12.02;11.96;1234
1596124800000;11.97;11.98;12.0;11.95;741
1596125700000;11.97;12.03;12.03;11.96;805
1596126600000;12.03;12.07;12.09;12.03;891
1596127500000;12.07;12.06;12.09;12.06;547
1596128400000;12.05;12.08;12.08;12.04;636
1596129300000;12.07;12.11;12.12;12.07;659
1596130200000;12.11;12.04;12.12;12.04;590
1596131100000;12.04;11.97;12.05;11.96;804
1596132000000;11.98;11.99;12.02;11.97;563
1596132900000;11.98;12.0;12.02;11.98;884
1596133800000;11.99;12.04;12.05;11.97;1203
1596134700000;12.04;12.04;12.06;12.03;694
1596135600000;12.04;12.0;12.05;11.99;812
1596136500000;12.0;11.97;12.04;11.95;1114
1596137400000;11.97;11.99;11.99;11.94;1245
1596138300000;11.99;11.98;12.01;11.97;861
1596203100000;11.85;11.84;11.97;11.69;1864
1596204000000;11.84;11.92;11.97;11.84;2281
1596204900000;11.93;11.86;12.0;11.85;2137
1596205800000;11.85;11.78;11.86;11.74;2371
1596206700000;11.77;11.73;11.79;11.71;1874
1596207600000;11.72;11.79;11.79;11.7;1931
1596208500000;11.78;11.75;11.8;11.72;931
1596209400000;11.74;11.75;11.78;11.74;935
1596210300000;11.75;11.68;11.76;11.67;1215
1596211200000;11.69;11.66;11.71;11.65;1152
1596212100000;11.65;11.72;11.72;11.63;1462
1596213000000;11.72;11.67;11.72;11.64;986
1596213900000;11.67;11.62;11.68;11.59;864
1596214800000;11.61;11.58;11.61;11.55;870
1596215700000;11.57;11.69;11.7;11.57;1032
1596216600000;11.69;11.72;11.72;11.69;548
1596217500000;11.72;11.72;11.73;11.71;477
1596218400000;11.71;11.76;11.78;11.71;896
1596219300000;11.77;11.75;11.81;11.74;984
1596220200000;11.75;11.75;11.76;11.74;343
1596221100000;11.75;11.77;11.78;11.74;482
1596222000000;11.77;11.76;11.78;11.75;269
1596222900000;11.75;11.72;11.75;11.72;595
1596223800000;11.71;11.7;11.72;11.7;510
1596224700000;11.71;11.7;11.72;11.7;720
1596462300000;11.78;11.75;11.81;11.69;1185
1596463200000;11.75;11.84;11.88;11.72;1508
1596464100000;11.84;11.94;11.94;11.84;1182
1596465000000;11.93;11.93;11.95;11.92;869
1596465900000;11.94;11.9;11.95;11.88;1161
1596466800000;11.89;11.87;11.89;11.83;1323
1596467700000;11.87;11.9;11.91;11.87;862
1596468600000;11.9;11.95;11.97;11.9;740
1596469500000;11.95;11.95;11.96;11.92;907
1596470400000;11.95;11.91;11.96;11.91;1121
1596471300000;11.91;11.94;11.94;11.89;748
1596472200000;11.93;11.93;11.94;11.89;1231
1596473100000;11.93;11.94;11.94;11.91;500
1596474000000;11.95;11.93;11.96;11.93;735
1596474900000;11.92;11.92;11.94;11.91;598
1596475800000;11.92;11.95;11.98;11.92;773
1596476700000;11.94;11.95;11.98;11.94;791
1596477600000;11.95;11.96;11.96;11.93;625
1596478500000;11.97;11.98;11.99;11.96;857
1596479400000;11.97;11.98;12.0;11.97;494
1596480300000;11.97;11.98;11.98;11.96;252
1596481200000;11.98;11.96;11.98;11.96;570
1596482100000;11.97;11.97;11.98;11.96;308
1596483000000;11.97;11.98;11.98;11.95;648
1596483900000;11.98;11.93;11.98;11.92;615
1596548700000;11.8;11.92;11.98;11.75;1554
1596549600000;11.91;11.95;12.0;11.81;1877
1596550500000;11.95;12.01;12.05;11.88;1376
1596551400000;12.01;11.98;12.04;11.96;1331
1596552300000;11.98;11.98;11.98;11.92;983
1596553200000;11.97;11.99;12.01;11.97;936
1596554100000;11.98;12.01;12.03;11.98;924
1596555000000;12.02;12.03;12.05;12.02;597
1596555900000;12.02;12.05;12.08;12.02;781
1596556800000;12.06;12.03;12.06;12.01;810
1596557700000;12.03;12.01;12.04;12.01;606
1596558600000;12.02;12.08;12.08;12.02;807
1596559500000;12.07;12.06;12.09;12.06;451
1596560400000;12.07;12.06;12.07;12.06;11
1596561300000;12.06;12.07;12.09;12.04;746
1596562200000;12.06;12.05;12.07;12.04;305
1596563100000;12.05;12.07;12.09;12.05;568
1596564000000;12.07;12.13;12.13;12.07;442
1596564900000;12.13;12.14;12.14;12.11;616
1596565800000;12.13;12.16;12.18;12.13;636
1596566700000;12.15;12.12;12.16;12.1;649
1596567600000;12.12;12.18;12.18;12.11;514
1596568500000;12.16;12.15;12.16;12.13;483
1596569400000;12.16;12.19;12.19;12.15;706
1596570300000;12.18;12.16;12.18;12.13;311
1596635100000;12.15;12.07;12.26;12.02;1190
1596636000000;12.07;11.95;12.07;11.92;1441
1596636900000;11.95;11.98;11.98;11.89;1569
1596637800000;11.97;11.81;11.97;11.81;1119
1596638700000;11.82;11.76;11.87;11.76;1283
1596639600000;11.76;11.8;11.83;11.76;833
1596640500000;11.8;11.73;11.81;11.67;1315
1596641400000;11.73;11.7;11.75;11.7;959
1596642300000;11.71;11.67;11.73;11.66;1238
1596643200000;11.67;11.64;11.68;11.6;1095
1596644100000;11.64;11.66;11.67;11.62;857
1596645000000;11.66;11.62;11.66;11.62;439
1596645900000;11.61;11.62;11.63;11.59;544
1596646800000;11.63;11.62;11.65;11.61;594
1596647700000;11.62;11.61;11.63;11.6;487
1596648600000;11.6;11.63;11.63;11.58;768
1596649500000;11.62;11.6;11.64;11.59;760
1596650400000;11.61;11.63;11.64;11.61;474
1596651300000;11.63;11.59;11.64;11.58;506
1596652200000;11.58;11.58;11.61;11.58;417
1596653100000;11.59;11.56;11.6;11.55;431
1596654000000;11.56;11.55;11.57;11.55;464
1596654900000;11.55;11.52;11.56;11.51;414
1596655800000;11.52;11.51;11.54;11.51;685
1596656700000;11.52;11.5;11.52;11.49;434
1596721500000;11.5;11.74;11.76;11.47;1377
1596722400000;11.74;11.79;11.79;11.67;1634
1596723300000;11.78;11.67;11.79;11.67;1680
1596724200000;11.67;11.69;11.71;11.67;1217
1596725100000;11.69;11.67;11.71;11.62;947
1596726000000;11.68;11.68;11.7;11.65;672
1596726900000;11.68;11.69;11.69;11.68;315
1596727800000;11.68;11.7;11.73;11.68;748
1596728700000;11.7;11.65;11.7;11.64;349
1596729600000;11.65;11.67;11.7;11.65;581
1596730500000;11.67;11.69;11.69;11.67;360
1596731400000;11.7;11.69;11.71;11.67;392
1596732300000;11.69;11.72;11.72;11.68;305
1596733200000;11.72;11.7;11.72;11.69;245
1596734100000;11.71;11.69;11.71;11.69;252
1596735000000;11.69;11.69;11.7;11.68;317
1596735900000;11.68;11.7;11.7;11.68;377
1596736800000;11.7;11.7;11.7;11.7;106
1596737700000;11.7;11.7;11.7;11.7;64
1596738600000;11.69;11.7;11.7;11.69;236
1596740400000;11.7;11.73;11.73;11.7;824
1596741300000;11.72;11.71;11.72;11.71;239
1596743100000;11.7;11.7;11.7;11.7;482
1596807900000;11.54;11.68;11.76;11.54;806
1596808800000;11.7;11.62;11.75;11.59;780
1596809700000;11.62;11.78;11.8;11.61;645
1596810600000;11.77;11.74;11.79;11.74;1067
1596811500000;11.74;11.72;11.76;11.7;791
1596812400000;11.72;11.73;11.74;11.7;539
1596813300000;11.73;11.82;11.82;11.73;783
1596814200000;11.81;11.74;11.81;11.72;709
1596815100000;11.74;11.77;11.79;11.71;898
1596816000000;11.77;11.72;11.78;11.71;371
1596816900000;11.72;11.72;11.74;11.72;313
1596817800000;11.72;11.76;11.77;11.7;743
1596818700000;11.75;11.79;11.79;11.71;999
1596819600000;11.79;11.88;11.89;11.79;666
1596820500000;11.88;11.79;11.88;11.76;666
1596821400000;11.79;11.79;11.8;11.77;318
1596822300000;11.79;11.78;11.79;11.73;449
1596823200000;11.79;11.79;11.79;11.76;419
1596824100000;11.77;11.76;11.77;11.74;407
1596825000000;11.76;11.8;11.8;11.75;559
1596825900000;11.79;11.81;11.81;11.77;432
1596826800000;11.81;11.82;11.86;11.8;721
1596827700000;11.81;11.78;11.81;11.78;397
1596828600000;11.78;11.78;11.8;11.76;459
1596829500000;11.78;11.8;11.8;11.78;334
1597067100000;11.95;12.14;12.21;11.81;1287
1597068000000;12.14;12.17;12.17;12.05;1148
1597068900000;12.17;12.12;12.17;12.01;942
1597069800000;12.11;12.02;12.12;11.88;1588
1597070700000;12.04;12.08;12.08;11.98;940
1597071600000;12.1;12.05;12.1;12.03;880
1597072500000;12.05;12.06;12.07;12.0;736
1597073400000;12.05;12.06;12.07;11.99;685
1597074300000;12.02;11.95;12.05;11.92;832
1597075200000;11.95;11.97;12.02;11.94;754
1597076100000;11.97;11.88;11.97;11.82;734
1597077000000;11.87;11.87;11.93;11.84;906
1597077900000;11.87;11.82;11.87;11.75;648
1597078800000;11.81;11.76;11.81;11.69;763
1597079700000;11.74;11.62;11.75;11.58;1055
1597080600000;11.62;11.66;11.67;11.57;582
1597081500000;11.65;11.66;11.7;11.62;546
1597082400000;11.66;11.63;11.68;11.58;554
1597083300000;11.63;11.57;11.65;11.57;707
1597084200000;11.57;11.56;11.62;11.53;640
1597085100000;11.52;11.52;11.57;11.48;934
1597086000000;11.52;11.54;11.55;11.48;697
1597086900000;11.54;11.57;11.61;11.52;718
1597087800000;11.58;11.63;11.63;11.58;382
1597088700000;11.62;11.76;11.77;11.62;848
1597153500000;11.84;12.29;12.37;11.84;1089
1597154400000;12.27;12.27;12.28;12.21;1553
1597155300000;12.27;12.29;12.32;12.19;2259
1597156200000;12.31;12.59;12.59;12.31;2425
1597157100000;12.59;12.72;12.72;12.48;2105
1597158000000;12.72;12.92;12.94;12.7;2492
1597158900000;12.94;12.7;12.96;12.68;2799
1597159800000;12.69;12.75;12.77;12.66;1999
1597160700000;12.74;12.79;12.81;12.71;1264
1597161600000;12.8;12.66;12.81;12.65;1200
1597162500000;12.67;12.7;12.78;12.58;1386
1597163400000;12.7;12.63;12.7;12.59;1103
1597164300000;12.63;12.59;12.63;12.5;1611
1597165200000;12.58;12.68;12.68;12.58;731
1597166100000;12.67;12.63;12.68;12.57;871
1597167000000;12.64;12.63;12.65;12.59;619
1597167900000;12.63;12.65;12.66;12.6;719
1597168800000;12.65;12.72;12.74;12.65;667
1597169700000;12.72;12.67;12.72;12.65;976
1597170600000;12.67;12.65;12.71;12.62;963
1597171500000;12.65;12.62;12.67;12.62;758
1597172400000;12.62;12.59;12.62;12.56;1009
1597173300000;12.58;12.56;12.6;12.52;1002
1597174200000;12.57;12.51;12.58;12.47;898
1597175100000;12.51;12.46;12.53;12.45;896
1597239900000;12.53;12.52;12.66;12.37;1546
1597240800000;12.53;12.32;12.53;12.32;1139
1597241700000;12.33;12.32;12.39;12.28;1457
1597242600000;12.31;12.28;12.35;12.23;1610
1597243500000;12.28;12.19;12.31;12.18;1528
1597244400000;12.18;12.12;12.2;12.11;1376
1597245300000;12.13;12.05;12.14;12.05;845
1597246200000;12.05;12.06;12.06;12.01;737
1597247100000;12.06;11.98;12.06;11.96;918
1597248000000;11.97;12.06;12.06;11.97;609
1597248900000;12.06;12.06;12.09;12.06;353
1597249800000;12.04;12.07;12.09;12.02;386
1597250700000;12.07;12.15;12.15;12.07;418
1597251600000;12.16;12.09;12.16;12.07;419
1597252500000;12.09;12.04;12.09;12.01;479
1597253400000;12.04;12.04;12.05;12.0;414
1597254300000;12.05;12.05;12.06;12.03;329
1597255200000;12.05;12.05;12.07;12.03;388
1597256100000;12.05;12.09;12.09;12.05;298
1597257000000;12.09;12.12;12.12;12.09;235
1597257900000;12.12;12.29;12.29;12.12;754
1597258800000;12.29;12.23;12.32;12.23;752
1597259700000;12.23;12.24;12.25;12.21;685
1597260600000;12.25;12.23;12.26;12.21;438
1597261500000;12.22;12.19;12.22;12.18;867
1597326300000;12.07;12.22;12.22;12.0;1068
1597327200000;12.21;12.28;12.28;12.05;1959
1597328100000;12.27;12.28;12.38;12.25;1515
1597329000000;12.28;12.23;12.31;12.18;1393
1597329900000;12.22;12.24;12.3;12.2;1660
1597330800000;12.23;12.29;12.32;12.2;1128
1597331700000;12.3;12.29;12.31;12.2;839
1597332600000;12.29;12.28;12.31;12.24;897
1597333500000;12.28;12.31;12.32;12.26;779
1597334400000;12.31;12.35;12.36;12.31;430
1597335300000;12.35;12.33;12.36;12.32;202
1597336200000;12.33;12.35;12.36;12.33;578
1597337100000;12.35;12.31;12.36;12.31;419
1597338000000;12.3;12.37;12.39;12.3;547
1597338900000;12.38;12.35;12.39;12.34;328
1597339800000;12.35;12.38;12.39;12.35;413
1597340700000;12.37;12.35;12.37;12.31;508
1597341600000;12.35;12.36;12.39;12.35;525
1597342500000;12.35;12.34;12.38;12.33;530
1597343400000;12.34;12.41;12.42;12.34;638
1597344300000;12.41;12.33;12.41;12.32;649
1597345200000;12.35;12.3;12.41;12.3;1598
1597346100000;12.3;12.34;12.35;12.27;865
1597347000000;12.35;12.36;12.36;12.35;510
1597347900000;12.37;12.35;12.39;12.34;630
1597412700000;12.17;12.21;12.25;12.1;1210
1597413600000;12.2;12.27;12.28;12.11;1272
1597414500000;12.27;12.24;12.29;12.23;1200
1597415400000;12.23;12.36;12.37;12.22;1093
1597416300000;12.36;12.36;12.39;12.31;1004
1597417200000;12.36;12.36;12.39;12.35;839
1597418100000;12.36;12.37;12.38;12.33;692
1597419000000;12.37;12.46;12.49;12.36;779
1597419900000;12.46;12.49;12.5;12.46;433
1597420800000;12.49;12.49;12.52;12.47;567
1597421700000;12.49;12.51;12.52;12.46;501
1597422600000;12.5;12.48;12.5;12.47;317
1597423500000;12.47;12.5;12.5;12.47;411
1597424400000;12.5;12.48;12.5;12.47;206
1597425300000;12.48;12.48;12.48;12.48;166
1597426200000;12.48;12.48;12.48;12.46;208
1597427100000;12.49;12.53;12.53;12.49;313
1597428000000;12.53;12.53;12.55;12.53;518
1597428900000;12.52;12.48;12.52;12.47;558
1597429800000;12.48;12.45;12.48;12.44;386
1597430700000;12.45;12.44;12.51;12.44;625
1597431600000;12.43;12.38;12.43;12.36;684
1597432500000;12.37;12.32;12.37;12.32;518
1597433400000;12.31;12.34;12.35;12.3;469
1597434300000;12.35;12.31;12.35;12.3;648
1597671900000;12.3;12.2;12.37;12.12;1653
1597672800000;12.2;12.16;12.22;12.11;1308
1597673700000;12.16;12.2;12.24;12.08;1320
1597674600000;12.2;12.18;12.23;12.14;782
1597675500000;12.19;12.54;12.57;12.19;1672
1597676400000;12.53;12.44;12.53;12.41;1128
1597677300000;12.44;12.49;12.5;12.44;722
1597678200000;12.5;12.42;12.51;12.42;737
1597679100000;12.43;12.48;12.52;12.41;993
1597680000000;12.48;12.49;12.51;12.47;594
1597680900000;12.48;12.51;12.52;12.48;474
1597681800000;12.52;12.55;12.55;12.5;476
1597682700000;12.57;12.59;12.61;12.56;892
1597683600000;12.59;12.61;12.62;12.57;432
1597684500000;12.6;12.57;12.62;12.55;349
1597685400000;12.57;12.58;12.61;12.57;474
1597686300000;12.58;12.55;12.59;12.54;425
1597687200000;12.55;12.57;12.58;12.55;407
1597688100000;12.57;12.54;12.57;12.53;374
1597689000000;12.54;12.56;12.57;12.53;475
1597689900000;12.55;12.56;12.57;12.54;425
1597690800000;12.55;12.54;12.55;12.54;475
1597691700000;12.54;12.53;12.55;12.49;591
1597692600000;12.52;12.5;12.56;12.49;969
1597693500000;12.5;12.51;12.52;12.49;880
1597758300000;12.33;12.37;12.41;12.2;1097
1597759200000;12.36;12.26;12.38;12.26;1298
1597760100000;12.27;12.31;12.34;12.26;681
1597761000000;12.31;12.32;12.4;12.25;1103
1597761900000;12.32;12.3;12.35;12.28;958
1597762800000;12.29;12.3;12.31;12.27;523
1597763700000;12.3;12.22;12.31;12.22;901
1597764600000;12.25;12.2;12.25;12.16;743
1597765500000;12.21;12.2;12.25;12.18;629
1597766400000;12.18;12.23;12.24;12.16;652
1597767300000;12.22;12.24;12.27;12.22;448
1597768200000;12.25;12.24;12.27;12.24;455
1597769100000;12.25;12.29;12.31;12.21;715
1597770000000;12.28;12.26;12.29;12.23;521
1597770900000;12.26;12.29;12.29;12.26;245
1597771800000;12.28;12.27;12.29;12.24;629
1597772700000;12.27;12.26;12.33;12.25;756
1597773600000;12.26;12.28;12.29;12.26;376
1597774500000;12.28;12.27;12.29;12.25;421
1597775400000;12.26;12.25;12.27;12.25;300
1597776300000;12.25;12.2;12.25;12.2;420
1597777200000;12.2;12.19;12.2;12.16;324
1597778100000;12.19;12.19;12.21;12.18;376
1597779000000;12.2;12.19;12.2;12.19;255
1597779900000;12.19;12.21;12.23;12.19;486
1597844700000;12.16;12.34;12.36;12.12;1120
1597845600000;12.34;12.4;12.42;12.32;1131
1597846500000;12.4;12.37;12.46;12.3;1307
1597847400000;12.37;12.44;12.44;12.34;1022
1597848300000;12.43;12.51;12.52;12.43;833
1597849200000;12.51;12.49;12.54;12.43;836
1597850100000;12.49;12.47;12.51;12.47;607
1597851000000;12.47;12.48;12.49;12.43;533
1597851900000;12.48;12.49;12.51;12.48;387
1597852800000;12.5;12.48;12.51;12.47;661
1597853700000;12.48;12.41;12.49;12.4;620
1597854600000;12.4;12.45;12.45;12.4;409
1597855500000;12.46;12.46;12.51;12.46;431
1597856400000;12.47;12.47;12.48;12.44;399
1597857300000;12.46;12.5;12.5;12.45;360
1597858200000;12.5;12.53;12.54;12.5;303
1597859100000;12.53;12.52;12.53;12.51;331
1597860000000;12.52;12.52;12.54;12.5;343
1597860900000;12.51;12.51;12.52;12.5;144
1597861800000;12.51;12.53;12.55;12.51;762
1597862700000;12.54;12.53;12.55;12.52;539
1597863600000;12.53;12.56;12.56;12.53;526
1597864500000;12.56;12.58;12.58;12.56;301
1597865400000;12.59;12.59;12.6;12.58;568
1597866300000;12.59;12.53;12.59;12.49;1069
1597931100000;12.29;12.3;12.41;12.24;1442
1597932000000;12.29;12.38;12.42;12.27;1088
1597932900000;12.38;12.42;12.46;12.36;1299
1597933800000;12.42;12.36;12.44;12.36;767
1597934700000;12.37;12.39;12.41;12.36;768
1597935600000;12.39;12.35;12.41;12.35;639
1597936500000;12.35;12.34;12.36;12.34;396
1597937400000;12.36;12.37;12.38;12.35;277
1597938300000;12.36;12.31;12.36;12.31;487
1597939200000;12.3;12.27;12.3;12.27;270
1597940100000;12.26;12.26;12.31;12.26;620
1597941000000;12.27;12.27;12.28;12.27;192
1597941900000;12.26;12.2;12.27;12.19;673
1597942800000;12.2;12.19;12.2;12.18;320
1597943700000;12.18;12.13;12.18;12.12;827
1597944600000;12.13;12.19;12.19;12.13;462
1597945500000;12.2;12.22;12.22;12.2;162
1597946400000;12.21;12.17;12.23;12.17;575
1597947300000;12.18;12.22;12.22;12.18;422
1597948200000;12.21;12.22;12.22;12.21;133
1597949100000;12.23;12.23;12.23;12.21;493
1597950000000;12.22;12.2;12.22;12.19;497
1597950900000;12.2;12.25;12.25;12.2;595
1597951800000;12.24;12.25;12.25;12.24;503
1597952700000;12.24;12.24;12.25;12.24;476
1598017500000;12.0;12.08;12.18;12.0;1199
1598018400000;12.09;12.19;12.24;12.09;891
1598019300000;12.2;12.11;12.2;12.1;610
1598020200000;12.1;12.03;12.11;12.03;570
1598021100000;12.03;12.06;12.13;12.03;691
1598022000000;12.06;12.14;12.16;12.05;548
1598022900000;12.16;12.2;12.21;12.1;761
1598023800000;12.2;12.15;12.2;12.14;545
1598024700000;12.15;12.2;12.26;12.15;672
1598025600000;12.19;12.28;12.35;12.19;1063
1598026500000;12.29;12.36;12.38;12.25;778
1598027400000;12.36;12.33;12.37;12.32;391
1598028300000;12.34;12.35;12.35;12.33;366
1598029200000;12.34;12.28;12.34;12.28;466
1598030100000;12.28;12.31;12.32;12.25;481
1598031000000;12.31;12.34;12.34;12.29;423
1598031900000;12.34;12.37;12.37;12.32;553
1598032800000;12.37;12.38;12.39;12.36;335
1598033700000;12.37;12.39;12.41;12.36;371
1598034600000;12.39;12.39;12.41;12.37;403
1598035500000;12.39;12.39;12.4;12.38;302
1598036400000;12.38;12.36;12.39;12.35;443
1598037300000;12.37;12.35;12.37;12.33;667
1598038200000;12.34;12.32;12.34;12.3;385
1598039100000;12.32;12.31;12.34;12.3;549
1598276700000;12.46;12.45;12.48;12.32;1110
1598277600000;12.44;12.5;12.55;12.44;1231
1598278500000;12.5;12.54;12.61;12.49;1195
1598279400000;12.54;12.46;12.55;12.45;706
1598280300000;12.47;12.53;12.56;12.47;878
1598281200000;12.53;12.59;12.59;12.53;736
1598282100000;12.58;12.58;12.59;12.56;585
1598283000000;12.57;12.56;12.57;12.56;110
1598283900000;12.55;12.53;12.56;12.53;563
1598284800000;12.53;12.49;12.54;12.47;568
1598285700000;12.49;12.54;12.58;12.49;470
1598286600000;12.55;12.55;12.56;12.51;673
1598287500000;12.54;12.58;12.58;12.53;481
1598288400000;12.57;12.59;12.64;12.57;630
1598289300000;12.58;12.61;12.61;12.57;302
1598290200000;12.61;12.61;12.62;12.6;237
1598291100000;12.61;12.64;12.65;12.6;310
1598292000000;12.64;12.6;12.64;12.56;417
1598292900000;12.61;12.61;12.61;12.59;316
1598293800000;12.61;12.62;12.63;12.61;247
1598294700000;12.62;12.6;12.64;12.58;385
1598295600000;12.6;12.58;12.62;12.58;332
1598296500000;12.58;12.59;12.59;12.58;365
1598297400000;12.58;12.62;12.62;12.56;507
1598298300000;12.61;12.69;12.72;12.54;1325
1598363100000;12.72;12.61;12.85;12.59;934
1598364000000;12.61;12.64;12.71;12.61;1334
1598364900000;12.64;12.5;12.64;12.49;958
1598365800000;12.49;12.52;12.58;12.46;1540
1598366700000;12.5;12.49;12.52;12.44;1094
1598367600000;12.49;12.49;12.5;12.43;1059
1598368500000;12.49;12.48;12.52;12.45;828
1598369400000;12.45;12.47;12.5;12.45;836
1598370300000;12.46;12.42;12.47;12.39;817
1598371200000;12.42;12.45;12.47;12.41;577
1598372100000;12.44;12.44;12.47;12.43;621
1598373000000;12.44;12.51;12.51;12.44;573
1598373900000;12.5;12.53;12.53;12.49;361
1598374800000;12.52;12.5;12.54;12.49;361
1598375700000;12.49;12.51;12.51;12.49;224
1598376600000;12.51;12.55;12.55;12.51;286
1598377500000;12.55;12.58;12.59;12.55;434
1598378400000;12.58;12.58;12.59;12.55;486
1598379300000;12.59;12.58;12.59;12.57;272
1598380200000;12.57;12.6;12.61;12.54;369
1598381100000;12.59;12.61;12.61;12.59;291
1598382000000;12.6;12.61;12.63;12.59;380
1598382900000;12.6;12.64;12.64;12.6;438
1598383800000;12.63;12.65;12.65;12.63;271
1598384700000;12.65;12.65;12.66;12.65;248
1598449500000;12.56;12.57;12.6;12.46;822
1598450400000;12.57;12.65;12.68;12.57;731
1598451300000;12.66;12.71;12.74;12.63;1000
1598452200000;12.7;12.76;12.77;12.64;1459
1598453100000;12.75;12.7;12.8;12.7;976
1598454000000;12.7;12.7;12.72;12.63;865
1598454900000;12.71;12.72;12.75;12.64;860
1598455800000;12.71;12.7;12.73;12.67;636
1598456700000;12.69;12.71;12.71;12.67;494
1598457600000;12.71;12.72;12.73;12.7;357
1598458500000;12.72;12.71;12.73;12.68;506
1598459400000;12.72;12.73;12.74;12.72;269
1598460300000;12.72;12.72;12.73;12.71;313
1598461200000;12.73;12.75;12.76;12.73;583
1598462100000;12.75;12.76;12.77;12.75;215
1598463000000;12.76;12.76;12.79;12.75;311
1598463900000;12.75;12.76;12.77;12.73;376
1598464800000;12.75;12.77;12.77;12.74;355
1598465700000;12.77;12.79;12.8;12.76;323
1598466600000;12.79;12.81;12.81;12.79;240
1598467500000;12.8;12.78;12.8;12.76;526
1598468400000;12.79;12.77;12.79;12.77;532
1598469300000;12.78;12.78;12.78;12.78;283
1598470200000;12.79;12.79;12.79;12.79;192
1598471100000;12.79;12.74;12.79;12.72;491
1598535900000;12.65;12.83;12.91;12.65;1283
1598536800000;12.82;12.91;12.91;12.8;2909
1598537700000;12.91;12.84;12.96;12.82;3378
1598538600000;12.83;12.86;12.86;12.8;2649
1598539500000;12.86;12.81;12.88;12.81;2457
1598540400000;12.81;12.88;12.88;12.8;1618
1598541300000;12.87;12.84;12.89;12.83;1736
1598542200000;12.85;12.77;12.85;12.75;1873
1598543100000;12.77;12.76;12.79;12.76;980
1598544000000;12.76;12.78;12.78;12.71;320
1598544900000;12.77;12.75;12.78;12.7;535
1598545800000;12.74;12.72;12.75;12.71;402
1598546700000;12.72;12.72;12.74;12.7;804
1598547600000;12.71;12.77;12.78;12.7;586
1598548500000;12.76;12.79;12.79;12.74;339
1598549400000;12.79;12.81;12.83;12.78;460
1598550300000;12.82;12.83;12.84;12.8;375
1598551200000;12.83;12.81;12.83;12.76;465
1598552100000;12.81;12.81;12.82;12.79;250
1598553000000;12.81;12.8;12.81;12.79;247
1598553900000;12.8;12.79;12.8;12.78;479
1598554800000;12.78;12.79;12.8;12.78;439
1598555700000;12.79;12.79;12.79;12.77;297
1598556600000;12.78;12.79;12.79;12.77;780
1598557500000;12.78;12.77;12.78;12.77;183
1598622300000;12.74;12.7;12.85;12.66;945
1598623200000;12.7;12.74;12.83;12.7;980
1598624100000;12.74;12.78;12.81;12.7;1017
1598625000000;12.79;12.79;12.82;12.72;613
1598625900000;12.78;12.87;12.87;12.76;1038
1598626800000;12.87;12.86;12.88;12.83;649
1598627700000;12.86;12.93;12.94;12.84;730
1598628600000;12.93;12.92;12.95;12.89;531
1598629500000;12.91;12.92;12.92;12.86;532
1598630400000;12.92;12.89;12.93;12.89;419
1598631300000;12.89;12.89;12.91;12.89;235
1598632200000;12.89;12.89;12.9;12.89;429
1598633100000;12.88;12.88;12.91;12.87;389
1598634000000;12.88;12.88;12.89;12.88;264
1598634900000;12.88;12.9;12.9;12.86;293
1598635800000;12.9;12.87;12.9;12.87;599
1598636700000;12.86;12.88;12.89;12.86;331
1598637600000;12.88;12.88;12.88;12.87;274
1598638500000;12.88;12.86;12.89;12.86;375
1598639400000;12.85;12.86;12.87;12.85;420
1598640300000;12.87;12.86;12.88;12.86;438
1598641200000;12.85;12.86;12.86;12.85;514
1598642100000;12.86;12.86;12.88;12.84;579
1598643000000;12.86;12.86;12.86;12.85;297
1598643900000;12.87;12.89;12.89;12.87;264
1598881500000;12.75;12.77;12.84;12.72;1104
1598882400000;12.77;12.89;12.9;12.74;1075
1598883300000;12.89;12.83;12.92;12.81;849
1598884200000;12.82;12.79;12.83;12.77;353
1598885100000;12.79;12.83;12.86;12.77;636
1598886000000;12.83;12.77;12.84;12.77;329
1598886900000;12.78;12.81;12.82;12.76;621
1598887800000;12.8;12.7;12.8;12.7;685
1598888700000;12.7;12.72;12.73;12.68;569
1598889600000;12.72;12.72;12.73;12.72;280
1598890500000;12.71;12.69;12.71;12.67;320
1598891400000;12.68;12.66;12.68;12.66;163
1598892300000;12.65;12.7;12.7;12.64;571
1598893200000;12.69;12.69;12.71;12.68;349
1598894100000;12.69;12.67;12.69;12.67;252
1598895000000;12.67;12.66;12.67;12.65;209
1598895900000;12.67;12.67;12.67;12.67;123
1598896800000;12.68;12.66;12.68;12.66;113
